iter	RMSE
0	11225.36556
1	10402.02184
2	9693.388884
3	9019.882401
4	8517.212121
5	8042.679988
6	7606.739275
7	7234.868952
8	6966.384806
9	6624.843048
10	6356.150598
11	6115.086299
12	5875.390051
13	5656.020293
14	5492.172449
15	5347.062117
16	5203.279188
17	5080.834005
18	4970.060543
19	4876.531955
20	4818.121109
21	4755.894615
22	4724.468164
23	4671.633146
24	4612.204256
25	4571.268694
26	4541.378953
27	4504.028956
28	4478.627046
29	4455.283471
30	4429.290728
31	4408.380678
32	4383.530852
33	4357.695003
34	4342.074209
35	4322.610645
36	4302.288059
37	4283.897575
38	4272.569725
39	4250.330002
40	4233.881849
41	4221.734453
42	4206.182787
43	4192.134641
44	4178.32125
45	4176.870356
46	4169.343964
47	4157.970297
48	4150.437142
49	4144.911453
