iter	RMSE
0	11722.46414
1	11345.06003
2	11011.88077
3	10673.55505
4	10396.46352
5	10122.07152
6	9840.895952
7	9592.017633
8	9382.779989
9	9118.573133
10	8879.736852
11	8671.194382
12	8472.431245
13	8265.472419
14	8061.34876
15	7858.338132
16	7681.634597
17	7509.765155
18	7343.525805
19	7194.844043
20	7034.512663
21	6895.107897
22	6750.450517
23	6608.973197
24	6487.665441
25	6371.229708
26	6267.510926
27	6166.063352
28	6066.93182
29	5966.867671
30	5882.46755
31	5789.86725
32	5715.813878
33	5642.129984
34	5572.69239
35	5506.239745
36	5443.078755
37	5376.88548
38	5319.802933
39	5265.081111
40	5214.515166
41	5165.848524
42	5118.119732
43	5073.312007
44	5034.841518
45	5000.187537
46	4965.453197
47	4925.475595
48	4889.716279
49	4858.703355
50	4827.709342
51	4796.179563
52	4773.370684
53	4746.014772
54	4719.818433
55	4697.876794
56	4675.411526
57	4652.88139
58	4633.599909
59	4610.774263
60	4597.869589
61	4579.872677
62	4559.387278
63	4542.441277
64	4524.119949
65	4508.455628
66	4494.276018
67	4480.448689
68	4470.510562
69	4459.156012
70	4448.993746
71	4436.830087
72	4426.000838
73	4417.125873
74	4408.108364
75	4397.713247
76	4392.170516
77	4384.424615
78	4374.799661
79	4367.38135
80	4358.82031
81	4352.19546
82	4344.880823
83	4335.984884
84	4329.781961
85	4323.210097
86	4320.277732
87	4314.473019
88	4306.562295
89	4299.638845
90	4294.130885
91	4288.25343
92	4281.879824
93	4279.152857
94	4270.292622
95	4263.045551
96	4258.798562
97	4253.793956
98	4249.083838
99	4244.677306
100	4236.907796
101	4231.418003
102	4227.024111
103	4224.667412
104	4220.208167
105	4216.28625
106	4213.475383
107	4206.397905
108	4202.396517
109	4195.537677
110	4190.037717
111	4183.496629
112	4176.756185
113	4173.265235
114	4168.399718
115	4164.608515
116	4161.651644
117	4153.548538
118	4149.101988
119	4147.303983
120	4144.632805
121	4141.077958
122	4138.599899
123	4133.883022
124	4130.335
125	4128.911574
126	4122.276149
127	4115.033762
128	4113.378049
129	4110.483879
130	4104.932287
131	4101.952696
132	4096.551897
133	4091.451402
134	4088.263683
135	4083.240068
136	4080.124756
137	4077.860943
138	4075.465167
139	4072.805635
140	4070.988806
141	4065.889607
142	4063.655979
143	4060.370665
144	4057.518992
145	4055.040594
146	4050.28031
147	4047.522714
148	4043.88656
149	4039.400741
150	4036.348109
151	4033.686077
152	4032.029243
153	4030.765913
154	4029.408126
155	4025.551691
156	4023.125513
157	4021.322684
158	4019.605925
159	4018.052842
160	4017.297506
161	4013.148181
162	4011.354909
163	4009.937184
164	4006.694991
165	4004.273729
166	4003.814583
167	4001.986074
168	3999.133586
169	3997.435629
170	3996.275407
171	3992.255523
172	3989.909265
173	3983.453019
174	3982.297905
175	3980.908648
176	3976.279114
177	3974.849073
178	3971.837685
179	3969.47107
180	3965.212689
181	3962.817485
182	3961.125519
183	3958.431013
184	3955.472503
185	3953.56935
186	3949.886272
187	3947.201072
188	3945.457873
189	3943.847995
190	3939.350501
191	3935.261168
192	3934.857056
193	3930.890966
194	3927.052809
195	3924.477981
196	3921.838144
197	3918.433911
198	3914.521464
199	3912.740651
200	3910.275519
201	3908.723525
202	3906.503428
203	3903.320576
204	3901.134472
205	3900.300277
206	3898.28772
207	3895.211391
208	3893.328503
209	3892.308794
210	3891.452118
211	3888.279218
212	3886.625166
213	3882.445459
214	3880.804039
215	3878.65927
216	3875.393096
217	3873.269273
218	3871.505701
219	3867.218751
220	3865.005095
221	3862.352532
222	3860.890687
223	3859.269374
224	3858.958019
225	3855.469865
226	3851.461139
227	3849.074075
228	3847.732082
229	3845.12818
230	3843.568934
231	3840.639273
232	3838.003156
233	3835.519664
234	3834.131236
235	3831.842609
236	3829.206684
237	3827.760891
238	3826.292615
239	3824.604244
240	3823.569854
241	3821.61979
242	3817.743651
243	3814.442192
244	3811.732498
245	3808.116347
246	3807.264591
247	3804.132454
248	3802.172694
249	3800.571635
250	3799.894926
251	3798.547742
252	3797.122681
253	3791.54833
254	3790.698722
255	3789.605571
256	3787.973001
257	3787.470025
258	3785.10618
259	3784.101896
260	3782.981376
261	3781.398987
262	3779.290818
263	3774.498232
264	3772.374166
265	3770.894911
266	3769.83963
267	3768.91696
268	3765.998666
269	3764.503222
270	3760.726705
271	3759.982482
272	3758.502812
273	3753.744477
274	3752.258117
275	3747.221126
276	3745.202084
277	3738.377054
278	3736.612425
279	3735.322088
280	3734.382216
281	3733.653582
282	3731.83032
283	3730.639799
284	3729.453692
285	3725.882654
286	3725.164873
287	3722.176116
288	3715.726327
289	3713.475853
290	3710.722232
291	3708.853886
292	3707.332641
293	3706.327344
294	3704.57525
295	3703.99431
296	3701.178323
297	3696.739364
298	3694.586852
299	3692.692778
300	3689.969619
301	3688.227957
302	3686.743696
303	3683.641234
304	3681.570336
305	3679.340802
306	3678.747562
307	3677.701002
308	3676.719838
309	3670.752089
310	3667.916493
311	3666.844578
312	3665.31106
313	3662.834499
314	3661.386313
315	3660.852864
316	3658.576623
317	3657.591922
318	3656.547435
319	3656.039778
320	3654.442091
321	3648.890976
322	3647.86817
323	3644.616055
324	3643.725502
325	3643.526106
326	3642.814094
327	3642.37332
328	3637.102001
329	3634.911622
330	3634.413401
331	3631.599151
332	3629.741444
333	3628.03136
334	3627.089548
335	3626.48482
336	3625.255396
337	3623.895103
338	3622.140041
339	3620.658433
340	3618.294714
341	3616.248246
342	3615.449313
343	3614.535331
344	3613.525467
345	3613.082979
346	3611.281304
347	3609.724316
348	3608.478235
349	3607.875729
350	3607.151891
351	3605.35852
352	3603.91672
353	3603.172923
354	3602.010696
355	3601.417616
356	3600.046139
357	3595.182386
358	3593.274568
359	3592.686507
360	3590.283025
361	3589.794326
362	3585.125622
363	3582.271116
364	3579.35923
365	3578.819276
366	3577.778068
367	3576.036044
368	3575.409514
369	3572.996954
370	3570.491859
371	3568.176616
372	3567.06934
373	3564.83706
374	3564.485874
375	3563.104734
376	3561.048043
377	3559.40533
378	3556.288205
379	3552.407405
380	3550.833325
381	3548.577624
382	3543.98436
383	3541.561422
384	3539.727363
385	3536.027523
386	3534.557825
387	3532.610142
388	3530.969523
389	3529.193105
390	3527.706826
391	3525.547279
392	3524.627617
393	3522.75433
394	3520.934126
395	3519.852785
396	3516.347821
397	3514.446024
398	3512.317781
399	3510.009259
400	3507.649081
401	3504.559976
402	3502.732056
403	3499.348324
404	3499.22839
405	3497.235858
406	3493.91943
407	3493.577806
408	3492.210311
409	3491.143121
410	3487.00432
411	3486.121558
412	3484.425522
413	3481.647053
414	3478.815335
415	3476.795556
416	3474.958323
417	3473.40416
418	3471.961
419	3469.764767
420	3467.811677
421	3466.095529
422	3464.459549
423	3464.345723
424	3461.556685
425	3460.23972
426	3459.460342
427	3458.853916
428	3457.783043
429	3456.310339
430	3453.885482
431	3452.162099
432	3451.316955
433	3450.569264
434	3448.285802
435	3446.474949
436	3446.090277
437	3444.723076
438	3443.77309
439	3442.292892
440	3438.42876
441	3436.103732
442	3434.667132
443	3432.967993
444	3430.739527
445	3429.127163
446	3427.000574
447	3425.01701
448	3422.944763
449	3421.612933
450	3420.144449
451	3418.987205
452	3415.71155
453	3413.166344
454	3412.87563
455	3412.450909
456	3411.318847
457	3410.233842
458	3408.714225
459	3408.107261
460	3406.210362
461	3402.643916
462	3400.478086
463	3398.677864
464	3397.248951
465	3395.549198
466	3392.565685
467	3391.082107
468	3387.997636
469	3387.012831
470	3383.694063
471	3381.137092
472	3379.217715
473	3376.259084
474	3375.6768
475	3374.456131
476	3373.506826
477	3371.56239
478	3370.738885
479	3369.832365
480	3368.410686
481	3367.692537
482	3365.343963
483	3363.077046
484	3362.577313
485	3359.75602
486	3358.500257
487	3356.290628
488	3352.895248
489	3352.324242
490	3352.133515
491	3351.427613
492	3350.475252
493	3350.292062
494	3348.697921
495	3347.767188
496	3345.791776
497	3344.438384
498	3343.325532
